
地方频道,#genre#
徐水电视,http://111.227.207.66:4000/rtp/239.254.201.147:6260?$HEBEI
徐水电视,http://27.190.83.186:7000/rtp/239.254.201.147:6260?$HEBEI
玉田电视,http://106.119.250.95:8888/rtp/239.254.201.28:5194?$HEBEI
玉田电视,http://111.227.207.66:4000/rtp/239.254.201.28:5194?$HEBEI
玉田电视,http://27.190.83.186:7000/rtp/239.254.201.28:5194?$HEBEI
元氏电视,http://106.119.250.95:8888/rtp/239.254.200.191:5169?$HEBEI
元氏电视,http://111.227.207.66:4000/rtp/239.254.200.191:5169?$HEBEI
元氏电视,http://27.190.83.186:7000/rtp/239.254.200.191:5169?$HEBEI
枣强电视,http://106.119.250.95:8888/rtp/239.254.201.136:5363?$HEBEI
枣强电视,http://111.227.207.66:4000/rtp/239.254.201.136:5363?$HEBEI
枣强电视,http://27.190.83.186:7000/rtp/239.254.201.136:5363?$HEBEI
张家口新闻综合,http://106.119.250.95:8888/rtp/239.254.200.35:6000?$HEBEI
张家口新闻综合,http://111.227.207.66:4000/rtp/239.254.200.35:6000?$HEBEI
张家口新闻综合,http://27.190.83.186:7000/rtp/239.254.200.35:6000?$HEBEI
赵县电视,http://106.119.250.95:8888/rtp/239.254.201.111:5183?$HEBEI
赵县电视,http://111.227.207.66:4000/rtp/239.254.201.111:5183?$HEBEI
赵县电视,http://27.190.83.186:7000/rtp/239.254.201.111:5183?$HEBEI
涿州电视,http://106.119.250.95:8888/rtp/239.254.201.17:5261?$HEBEI
涿州电视,http://111.227.207.66:4000/rtp/239.254.201.17:5261?$HEBEI
涿州电视,http://27.190.83.186:7000/rtp/239.254.201.17:5261?$HEBEI
遵化电视,http://106.119.250.95:8888/rtp/239.254.201.146:5202?$HEBEI
遵化电视,http://111.227.207.66:4000/rtp/239.254.201.146:5202?$HEBEI
遵化电视,http://27.190.83.186:7000/rtp/239.254.201.146:5202?$HEBEI
